Edge_Number,Average_Neighbor_Degree
442,271.875
443,298.65811965811963
450,282.2903225806452
17,267.18897637795277
20,306.4
56,289.6043956043956
75,336.52830188679246
79,140.52380952380952
114,306.56716417910445
116,302.9102564102564
149,325.2133333333333
174,322.25454545454545
181,316.69072164948454
186,317.73846153846154
224,326.6119402985075
234,320.93333333333334
236,289.11578947368423
239,276.51
243,264.9537037037037
273,322.36842105263156
311,319.07462686567163
328,308.22352941176473
345,264.4901960784314
346,278.4166666666667
370,292.05
374,320.40983606557376
422,325.5890410958904
424,273.75206611570246
455,298.4886363636364
196,307.40677966101697
212,283.6142857142857
327,313.98039215686276
359,304.53333333333336
111,264.6507936507937
164,276.1880341880342
281,272.0431034482759
117,267.46666666666664
258,294.537037037037
303,291.64814814814815
436,294.0
30,270.7
35,281.83116883116884
37,279.0689655172414
62,295.86842105263156
89,256.11764705882354
105,279.0344827586207
124,256.6373626373626
199,256.6373626373626
208,195.27272727272728
209,254.6629213483146
216,327.03333333333336
218,262.9032258064516
220,270.7
283,289.27777777777777
297,282.55172413793105
300,331.15384615384613
318,319.69767441860466
322,256.25882352941176
338,302.6393442622951
386,316.1794871794872
391,256.25882352941176
399,283.87368421052633
426,200.57142857142858
433,291.0289855072464
439,292.8857142857143
453,291.84057971014494
54,318.1475409836066
59,315.33846153846156
83,322.96774193548384
97,309.390625
137,314.63492063492066
198,307.10526315789474
214,321.73770491803276
255,313.2686567164179
341,319.95522388059703
48,323.3076923076923
120,354.3611111111111
135,356.7
187,356.8857142857143
188,346.47222222222223
226,318.30434782608694
254,353.9428571428571
332,357.5238095238095
387,357.5238095238095
447,309.3066666666667
375,311.4318181818182
141,275.5952380952381
191,318.49122807017545
287,255.70212765957447
310,309.3050847457627
148,190.73684210526315
42,155.22222222222223
397,174.55555555555554
58,217.44444444444446
88,205.46341463414635
343,234.4
454,165.0
340,266.74074074074076
446,266.55555555555554
177,350.4347826086956
205,348.125
225,350.4347826086956
